Subset_Split,Design_Point,Activation_Function,Number_Neurons,Input_DO_Rate,Hidden_DO_Rate,Initial_Weight_Dist,Data_Scale,Rho,Epsilon,Shuffle_Train_Data,Dropout,DPt,Train_MSE,Test_MSE,Train_Time,Notes
1,86,Tanh,3,0.313927439,0.158449981,Uniform,ZO,0.775771737,1.38e-10,TRUE,TRUE,NA,0.04344639045783211,0.05122383268629254,0.51,NA
1,87,Tanh,3,0.30919751,0.087985468,Uniform,ZO,0.751388792,1.18e-10,FALSE,TRUE,NA,0.03828167133428303,0.03987667350967479,0.522,NA
1,88,Tanh,3,0.19807148,0.102631475,UniformAdaptive,ZO,0.753927922,8.08e-11,TRUE,TRUE,NA,0.031177179979482123,0.03688379989105553,0.483,NA
1,89,Tanh,2,0.238609608,0.003218733,Uniform,ZO,0.725426111,1.03e-10,TRUE,TRUE,NA,0.06329046664942659,0.06510517538899906,0.42,NA
1,90,Rectifier,3,0.252039164,0.121571952,Normal,PM1,0.741261107,1.4e-10,FALSE,TRUE,NA,0.5689513693563596,0.5789500384449695,0.18,NA
1,91,Rectifier,3,0.318700553,0.026943386,Normal,ZO,0.757831737,9.31e-11,TRUE,TRUE,NA,0.1174621674448211,0.11245305297586843,0.403,NA
1,92,Rectifier,3,0.224316756,0.022441269,Normal,PM.5,0.750185382,2.51e-10,TRUE,TRUE,NA,0.2591099367002743,0.35263518588167586,0.115,NA
1,93,Rectifier,3,0.323857638,0.018026943,UniformAdaptive,PM1,0.73304997,1.91e-10,FALSE,TRUE,NA,0.570484410468002,0.590221330357352,0.154,NA
1,94,Tanh,1,0.092985675,0.217195412,Uniform,ZO,0.724687592,1.63e-10,FALSE,TRUE,NA,0.09628749232821167,0.09642225220275592,0.464,NA
1,95,Tanh,1,0.09700967,0.290767498,Uniform,PM1,0.73478631,8.94e-11,TRUE,TRUE,NA,0.2932951686093919,0.3354060617669268,0.439,NA
1,96,Tanh,3,0.166750119,0.334645368,Normal,ZO,0.773192955,1.28e-10,TRUE,TRUE,NA,0.026726440850016353,0.03294710930429092,0.475,NA
1,97,Tanh,3,0.076953423,0.263804169,Normal,PM.5,0.748144571,1.7e-10,FALSE,TRUE,NA,0.027134327632807827,0.032119495740473514,0.509,NA
1,98,Tanh,2,0.007195482,0.328689778,Uniform,PM.5,0.744331563,1.11e-10,FALSE,TRUE,NA,0.032798723153137754,0.03855267271296565,0.54,NA
1,99,Rectifier,1,0.030262817,0.239502971,UniformAdaptive,PM1,0.758681665,1.21e-10,TRUE,TRUE,NA,0.6396448711753118,0.643380653967393,0.047,NA
1,100,Rectifier,1,0.070456369,0.293034807,Normal,ZO,0.770068883,1.48e-10,TRUE,TRUE,NA,0.15508464452991186,0.15521895690932658,0.045,NA
1,101,Tanh,2,0.023827485,0.081320089,Uniform,PM1,0.740988204,2.31e-10,TRUE,TRUE,NA,0.03078988800829068,0.0434980920895604,0.467,NA
1,102,Tanh,1,0.037788492,0.136879671,UniformAdaptive,ZO,0.732951677,1.55e-10,FALSE,TRUE,NA,0.06321413623087403,0.062303296635414895,0.427,NA
1,103,Rectifier,3,0.15054138,0.114132602,UniformAdaptive,PM.5,0.736683654,9.98e-11,FALSE,TRUE,NA,0.14508812896827136,0.1511421367720589,0.093,NA
1,104,Tanh,1,0.022001128,0.18040963,Uniform,PM1,0.745316199,7.56e-11,FALSE,TRUE,NA,0.2342698069423279,0.26382456331586923,0.446,NA
1,105,Rectifier,2,0.085763113,0.140146068,UniformAdaptive,PM1,0.750054709,8.69e-11,FALSE,TRUE,NA,0.5335435079281889,0.5702428467985384,0.177,NA
1,106,Tanh,1,0.051390811,0.029900279,UniformAdaptive,ZO,0.738599904,1.38e-10,TRUE,TRUE,NA,0.0611081950215964,0.06052041304194552,0.387,NA
1,107,Tanh,3,0.078464449,0.14581472,Uniform,PM.5,0.768858964,2.19e-10,TRUE,TRUE,NA,0.006669195641087825,0.00964346175852456,0.472,NA
1,108,Rectifier,3,0.012585897,0.160712532,UniformAdaptive,PM.5,0.790260552,9.11e-11,FALSE,TRUE,NA,0.1470744893907281,0.15158730741608883,0.061,NA
1,109,Rectifier,2,0.077988378,0.060835595,UniformAdaptive,ZO,0.784021651,1.11e-10,TRUE,TRUE,NA,0.09408184084703058,0.08180868403477312,0.122,NA
1,110,Tanh,1,0.047735845,0.117941275,UniformAdaptive,ZO,0.807281954,7.72e-11,TRUE,TRUE,NA,0.06847930945967932,0.06789125336721254,0.454,NA
1,111,Tanh,3,0.123487848,0.174436401,Uniform,PM.5,0.769599435,9.7e-11,TRUE,TRUE,NA,0.010375532551358395,0.014201814052717707,0.507,NA
1,112,Tanh,2,0.128584183,0.153930977,Uniform,PM1,0.796744854,1.3e-10,FALSE,TRUE,NA,0.05253034426007361,0.06533376111787913,0.514,NA
1,113,Rectifier,3,0.234042101,0.164192177,Normal,ZO,0.808371641,1.79e-10,TRUE,TRUE,NA,0.11798498822393634,0.12440045165176096,0.343,NA
1,114,Tanh,2,0.177951307,0.095634602,UniformAdaptive,PM1,0.726258956,2.13e-10,TRUE,TRUE,NA,0.20049654996334063,0.214326392913597,0.484,NA
1,115,Rectifier,1,0.097445127,0.120005724,UniformAdaptive,PM1,0.757621197,1.8e-10,FALSE,TRUE,NA,0.5432829259813419,0.5709087610067616,0.266,NA
1,116,Rectifier,3,0.163531544,0.065103955,UniformAdaptive,PM1,0.768730824,1.64e-10,FALSE,TRUE,NA,0.49913180347501274,0.5038244665318506,0.254,NA
1,117,Rectifier,3,0.156944267,0.138050799,Uniform,PM.5,0.778973178,2.43e-10,TRUE,TRUE,NA,0.14526753488112595,0.1496911239262334,0.108,NA
1,118,Rectifier,1,0.100986271,0.0260673,UniformAdaptive,PM1,0.727187911,2.25e-10,FALSE,TRUE,NA,0.596069410580381,0.6094759975624864,0.109,NA
1,119,Tanh,2,0.114011347,0.045238874,UniformAdaptive,PM.5,0.744485668,2.41e-10,FALSE,TRUE,NA,0.007354875518703559,0.010957924287255786,0.475,NA
1,120,Tanh,3,0.11943753,0.030760631,Normal,PM.5,0.788025239,2e-10,TRUE,TRUE,NA,0.009449075696353483,0.014792761837354928,0.507,NA
1,121,Tanh,3,0.062831297,0.002688875,Uniform,PM.5,0.749307558,2.1e-10,TRUE,TRUE,NA,0.0037815104658729965,0.00546734623019441,0.53,NA
1,122,Tanh,2,0.084572924,0.324154993,Normal,ZO,0.842527253,3.35e-10,TRUE,TRUE,NA,0.07379854280603332,0.07178504318302324,0.495,NA
1,123,Rectifier,2,0.121593658,0.335220696,Normal,PM.5,0.813482758,3.24e-10,FALSE,TRUE,NA,0.15497373361830166,0.1627212437808261,0.101,NA
1,124,Rectifier,3,0.088853192,0.256790583,Uniform,PM1,0.805994939,3.15e-10,TRUE,TRUE,NA,0.5358120389207963,0.5477924679836086,0.227,NA
1,125,Tanh,1,0.015096976,0.244003413,Normal,PM.5,0.834316748,3.4e-10,FALSE,TRUE,NA,0.060498240523671726,0.06721212026724699,0.451,NA
1,126,Rectifier,2,0.205528828,0.329448992,UniformAdaptive,PM1,0.830201236,2.91e-10,TRUE,TRUE,NA,0.6617416762270126,0.6833330171622176,0.076,NA
1,127,Rectifier,1,0.225094209,0.241835164,Normal,PM1,0.843611163,2.97e-10,FALSE,TRUE,NA,0.6092302082161152,0.6211824740030295,0.202,NA
1,128,Rectifier,2,0.20308236,0.271581902,Normal,ZO,0.816965093,3.37e-10,FALSE,TRUE,NA,0.06630155291552418,0.08075781326514009,0.255,NA
1,129,Tanh,2,0.17408965,0.214628042,Normal,PM1,0.812520747,3.56e-10,FALSE,TRUE,NA,0.08304391232187747,0.09681890186329146,0.499,NA
1,130,Rectifier,1,0.332101627,0.326067488,Uniform,PM.5,0.78661091,1.78e-10,FALSE,TRUE,NA,0.16086416951253937,0.16308712299940104,0.061,NA
1,131,Rectifier,2,0.237361217,0.337419269,UniformAdaptive,PM.5,0.784533753,3.05e-10,TRUE,TRUE,NA,0.14735028837885797,0.15193692686868532,0.099,NA
1,132,Tanh,3,0.313411555,0.279816414,Uniform,ZO,0.82287884,2.94e-10,FALSE,TRUE,NA,0.022175599105473953,0.025292216511480014,0.48,NA
1,133,Rectifier,1,0.281249253,0.300353698,Normal,PM1,0.825729292,2.17e-10,FALSE,TRUE,NA,0.5995992345399989,0.6120429203226242,0.219,NA
1,134,Tanh,1,0.236111806,0.195267553,Uniform,PM1,0.821518499,2.71e-10,FALSE,TRUE,NA,0.31365481346135266,0.3487050221005671,0.444,NA
1,135,Tanh,3,0.228971887,0.208716041,Uniform,PM1,0.806193512,3.95e-10,FALSE,TRUE,NA,0.030549204389165894,0.0436259903780883,0.52,NA
1,136,Tanh,1,0.317636807,0.174263134,UniformAdaptive,PM.5,0.835966102,3.46e-10,FALSE,TRUE,NA,0.054519767189412476,0.061131224808584995,0.451,NA
1,137,Rectifier,2,0.335125725,0.18321793,Uniform,PM1,0.819102969,3.73e-10,TRUE,TRUE,NA,0.563033073608395,0.5711743696323384,0.234,NA
1,138,Rectifier,1,0.337415183,0.2611769,Normal,PM.5,0.785881571,3.86e-10,TRUE,TRUE,NA,0.14994992928427878,0.15295799603687593,0.102,NA
1,139,Tanh,1,0.291354059,0.281709352,UniformAdaptive,ZO,0.845292749,3.77e-10,FALSE,TRUE,NA,0.07186749927748973,0.08257646702728542,0.316,NA
1,140,Tanh,2,0.26385223,0.330794628,UniformAdaptive,PM1,0.809140225,4.03e-10,TRUE,TRUE,NA,0.11205289254900806,0.13421565295507415,0.493,NA
1,141,Rectifier,3,0.288622071,0.315175903,UniformAdaptive,PM.5,0.797550102,3.16e-10,FALSE,TRUE,NA,0.14531591891481574,0.15255021893888204,0.067,NA
1,142,Rectifier,3,0.184620706,0.197080773,Normal,ZO,0.827589594,8.9e-11,TRUE,TRUE,NA,0.060807217738406756,0.065234156870276,0.461,NA
1,143,Tanh,3,0.217657283,0.259310658,UniformAdaptive,PM1,0.846823623,1.35e-10,FALSE,TRUE,NA,0.06837271163326933,0.08397141791297123,0.481,NA
1,144,Rectifier,1,0.115541196,0.198571968,UniformAdaptive,ZO,0.842200689,1.44e-10,FALSE,TRUE,NA,0.07830928349278009,0.09009154071204477,0.166,NA
1,145,Tanh,3,0.053281516,0.217947508,UniformAdaptive,ZO,0.845345087,9.82e-11,TRUE,TRUE,NA,0.01569984107142085,0.0211077012858585,0.484,NA
1,146,Rectifier,3,0.135402742,0.241071989,Normal,PM1,0.832618953,1.6e-10,TRUE,TRUE,NA,0.5436460963104568,0.5702542773970792,0.25,NA
1,147,Rectifier,3,0.017818591,0.191076907,Normal,PM.5,0.816205793,1.69e-10,FALSE,TRUE,NA,0.15531869695253986,0.15787982100754536,0.174,NA
1,148,Rectifier,1,0.110793503,0.288033965,Uniform,PM.5,0.828218117,1.13e-10,TRUE,TRUE,NA,0.14994992928427878,0.15295799603687593,0.077,NA
1,149,Rectifier,2,0.240859882,0.253843303,Uniform,ZO,0.824050096,8.01e-11,FALSE,TRUE,NA,0.09409865277987992,0.09947649420036803,0.406,NA
1,150,Rectifier,3,0.148372558,0.311506257,UniformAdaptive,PM.5,0.788735384,9.29e-11,FALSE,TRUE,NA,0.15541624129173312,0.15927058580050216,0.078,NA
1,151,Rectifier,2,0.07362335,0.24134645,UniformAdaptive,ZO,0.797929361,9.41e-11,TRUE,TRUE,NA,0.030581057280130865,0.033802873645430595,0.445,NA
1,152,Rectifier,2,0.067763761,0.265771422,Uniform,PM1,0.82449173,2.65e-10,FALSE,TRUE,NA,0.5542890765201405,0.563627421146477,0.274,NA
